| Term            | Soundex  | Appearances (DocHash, Frequency)                   |
|-----------------|----------|----------------------------------------------------|
|-----------------|----------|----------------------------------------------------|
| CNN             | C500     | (4, 27), (6, 26), (8, 26)                          |
|-----------------|----------|----------------------------------------------------|
| values          | VA4U     | (4, 1), (6, 1), (8, 1)                             |
|-----------------|----------|----------------------------------------------------|
| feedback        | FEE3     | (4, 2), (6, 2), (8, 2)                             |
|-----------------|----------|----------------------------------------------------|
| 1.              |          | (4, 1), (6, 1), (8, 1)                             |
|-----------------|----------|----------------------------------------------------|
| relevant        | RE4E     | (4, 1), (6, 1), (8, 1)                             |
|-----------------|----------|----------------------------------------------------|
| ad              | A300     | (4, 4), (6, 4), (8, 4)                             |
|-----------------|----------|----------------------------------------------------|
| ?               |          | (4, 2), (6, 2), (8, 2)                             |
|-----------------|----------|----------------------------------------------------|
| 2.              |          | (4, 1), (6, 1), (8, 1)                             |
|-----------------|----------|----------------------------------------------------|
| encounter       | E52O     | (4, 1), (6, 1), (8, 1)                             |
|-----------------|----------|----------------------------------------------------|
| technical       | TE2H     | (4, 1), (6, 1), (8, 1)                             |
|-----------------|----------|----------------------------------------------------|
| issues          | I2UE     | (4, 3), (6, 3), (8, 3)                             |
|-----------------|----------|----------------------------------------------------|
| Video           | VI3E     | (4, 7), (6, 7), (8, 7)                             |
|-----------------|----------|----------------------------------------------------|
| player          | P4AY     | (4, 1), (6, 1), (8, 1)                             |
|-----------------|----------|----------------------------------------------------|
| slow            | S4OW     | (4, 1), (6, 1), (8, 1)                             |
|-----------------|----------|----------------------------------------------------|
| load            | LOA3     | (4, 1), (6, 1), (8, 1)                             |
|-----------------|----------|----------------------------------------------------|
| content         | CO53     | (4, 3), (6, 3), (8, 3)                             |
|-----------------|----------|----------------------------------------------------|
| never           | NE1E     | (4, 2), (6, 2), (8, 2)                             |
|-----------------|----------|----------------------------------------------------|
| loaded          | LOA3     | (4, 3), (6, 3), (8, 3)                             |
|-----------------|----------|----------------------------------------------------|
| Ad              | A300     | (4, 5), (6, 5), (8, 5)                             |
|-----------------|----------|----------------------------------------------------|
| froze           | F6O2     | (4, 1), (6, 1), (8, 1)                             |
|-----------------|----------|----------------------------------------------------|
| finish          | FI5I     | (4, 1), (6, 1), (8, 1)                             |
|-----------------|----------|----------------------------------------------------|
| loading         | LOA3     | (4, 2), (6, 2), (8, 2)                             |
|-----------------|----------|----------------------------------------------------|
| start           | S3A6     | (4, 1), (6, 1), (8, 1)                             |
|-----------------|----------|----------------------------------------------------|
| Audio           | AU3I     | (4, 6), (6, 6), (8, 6)                             |
|-----------------|----------|----------------------------------------------------|
| loud            | LOU3     | (4, 1), (6, 1), (8, 1)                             |
|-----------------|----------|----------------------------------------------------|
| prevented/slowed | P6E1     | (4, 1), (6, 1), (8, 1)                             |
|-----------------|----------|----------------------------------------------------|
| page            | PA2E     | (4, 1), (6, 1), (8, 1)                             |
|-----------------|----------|----------------------------------------------------|
| Content         | CO53     | (4, 2), (6, 2), (8, 1)                             |
|-----------------|----------|----------------------------------------------------|
| moved           | MO1E     | (4, 1), (6, 1), (8, 1)                             |
|-----------------|----------|----------------------------------------------------|
